Entry	Entry Name	Protein names	Gene Names	Organism	Length	Domain [FT]
A0A091ELH6	A0A091ELH6_CORBR	Crk-like	N302_15508	Corvus brachyrhynchos (American crow)	299	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 232..293; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091ERR2	A0A091ERR2_CORBR	Engulfment and cell motility protein 1	N302_16019	Corvus brachyrhynchos (American crow)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091F223	A0A091F223_CORBR	Adapter molecule crk	N302_16394	Corvus brachyrhynchos (American crow)	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091F3B5	A0A091F3B5_CORBR	Engulfment and cell motility protein 3	N302_06971	Corvus brachyrhynchos (American crow)	648	DOMAIN 249..422; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091FJJ4	A0A091FJJ4_9AVES	Engulfment and cell motility protein 1	N303_06629	Cuculus canorus (common cuckoo)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091FLN0	A0A091FLN0_9AVES	Engulfment and cell motility protein 3	N303_10370	Cuculus canorus (common cuckoo)	715	DOMAIN 307..480; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091FPD8	A0A091FPD8_9AVES	Crk-like	N303_08773	Cuculus canorus (common cuckoo)	279	DOMAIN 1..83; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 101..161; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 212..273; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091GJP4	A0A091GJP4_9AVES	Engulfment and cell motility protein 2	N303_13184	Cuculus canorus (common cuckoo)	724	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091GNG3	A0A091GNG3_9AVES	Adapter molecule crk	N303_12119	Cuculus canorus (common cuckoo)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091GVB5	A0A091GVB5_BUCRH	Adapter molecule crk	N320_02149	Buceros rhinoceros silvestris	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091H7C3	A0A091H7C3_BUCRH	Crk-like	N320_11416	Buceros rhinoceros silvestris	276	DOMAIN 1..80; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 98..158; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 209..270; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091HTI7	A0A091HTI7_CALAN	Adapter molecule crk	N300_14565	Calypte anna (Anna's hummingbird) (Archilochus anna)	305	DOMAIN 13..119; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 133..193; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 236..297; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091I3F9	A0A091I3F9_CALAN	Engulfment and cell motility protein 3	N300_13676	Calypte anna (Anna's hummingbird) (Archilochus anna)	681	DOMAIN 273..446; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091I923	A0A091I923_CALAN	Engulfment and cell motility protein 2	N300_15597	Calypte anna (Anna's hummingbird) (Archilochus anna)	709	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091IHU9	A0A091IHU9_CALAN	Engulfment and cell motility protein 1	N300_04813	Calypte anna (Anna's hummingbird) (Archilochus anna)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091IJV0	A0A091IJV0_CALAN	Crk-like	N300_08223	Calypte anna (Anna's hummingbird) (Archilochus anna)	299	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 121..181; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 232..293; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091J4I7	A0A091J4I7_EGRGA	Engulfment and cell motility protein 1	Z169_12178	Egretta garzetta (Little egret)	745	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091J944	A0A091J944_EGRGA	Engulfment and cell motility protein 2	Z169_08665	Egretta garzetta (Little egret)	724	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091JIC9	A0A091JIC9_EGRGA	Crk-like	Z169_10714	Egretta garzetta (Little egret)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 228..289; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091KAR4	A0A091KAR4_COLST	Engulfment and cell motility protein 2	N325_09491	Colius striatus (Speckled mousebird)	706	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091KBM8	A0A091KBM8_EGRGA	Adapter molecule crk	Z169_00629	Egretta garzetta (Little egret)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091KJP6	A0A091KJP6_9GRUI	Adapter molecule crk	N324_07276	Chlamydotis macqueenii (Macqueen's bustard)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091L5E2	A0A091L5E2_9GRUI	Crk-like	N324_08889	Chlamydotis macqueenii (Macqueen's bustard)	254	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091LCV2	A0A091LCV2_CATAU	Crk-like	N323_02046	Cathartes aura (Turkey vulture) (Vultur aura)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091LY15	A0A091LY15_CARIC	Adapter molecule crk	N322_08012	Cariama cristata (Red-legged seriema)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091M4Q1	A0A091M4Q1_CATAU	Engulfment and cell motility protein 3	N323_04217	Cathartes aura (Turkey vulture) (Vultur aura)	490	DOMAIN 85..258; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091M6P1	A0A091M6P1_CARIC	Crk-like	N322_11941	Cariama cristata (Red-legged seriema)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 228..289; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091N0M7	A0A091N0M7_9PASS	Engulfment and cell motility protein 1	N310_12786	Acanthisitta chloris (rifleman)	623	DOMAIN 331..504; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091N928	A0A091N928_9PASS	Engulfment and cell motility protein 2	N310_10514	Acanthisitta chloris (rifleman)	704	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091NC14	A0A091NC14_9PASS	Crk-like	N310_06377	Acanthisitta chloris (rifleman)	294	DOMAIN 11..99; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 117..177; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 227..288; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091P952	A0A091P952_HALAL	Adapter molecule crk	N329_11244	Haliaeetus albicilla (White-tailed sea-eagle) (Falco albicilla)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091P9W0	A0A091P9W0_LEPDC	Crk-like	N330_14472	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091PFI9	A0A091PFI9_HALAL	Engulfment and cell motility protein 2	N329_07810	Haliaeetus albicilla (White-tailed sea-eagle) (Falco albicilla)	478	DOMAIN 85..259; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091PZ11	A0A091PZ11_LEPDC	Engulfment and cell motility protein 2	N330_05994	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	654	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091Q732	A0A091Q732_LEPDC	Adapter molecule crk	N330_05259	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091QIW0	A0A091QIW0_9GRUI	Engulfment and cell motility protein 3	N332_05762	Mesitornis unicolor (brown roatelo)	687	DOMAIN 280..453; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091QJD6	A0A091QJD6_9GRUI	Crk-like	N332_08463	Mesitornis unicolor (brown roatelo)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091QZF8	A0A091QZF8_MERNU	Engulfment and cell motility protein 2	N331_08127	Merops nubicus (Northern carmine bee-eater)	705	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091RJW0	A0A091RJW0_9GRUI	Adapter molecule crk	N332_08351	Mesitornis unicolor (brown roatelo)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091RNT8	A0A091RNT8_NESNO	Engulfment and cell motility protein 1	N333_02337	Nestor notabilis (Kea)	414	DOMAIN 2..175; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091RXA0	A0A091RXA0_NESNO	Engulfment and cell motility protein 3	N333_02216	Nestor notabilis (Kea)	671	DOMAIN 263..436; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091RZA4	A0A091RZA4_MERNU	Adapter molecule crk	N331_09518	Merops nubicus (Northern carmine bee-eater)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091SD57	A0A091SD57_PELCR	Engulfment and cell motility protein 2	N334_07727	Pelecanus crispus (Dalmatian pelican)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091SXN5	A0A091SXN5_NESNO	Crk-like	N333_11753	Nestor notabilis (Kea)	256	DOMAIN 1..60; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 78..138; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 189..250; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091T4N6	A0A091T4N6_PHALP	Engulfment and cell motility protein 3	N335_07874	Phaethon lepturus (White-tailed tropicbird)	691	DOMAIN 283..456; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091T8W1	A0A091T8W1_PHALP	Engulfment and cell motility protein 1	N335_07641	Phaethon lepturus (White-tailed tropicbird)	712	DOMAIN 303..476; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091TP53	A0A091TP53_PHALP	Engulfment and cell motility protein 2	N335_08072	Phaethon lepturus (White-tailed tropicbird)	724	DOMAIN 315..489; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091TPR6	A0A091TPR6_PHALP	Crk-like	N335_05871	Phaethon lepturus (White-tailed tropicbird)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091UUB7	A0A091UUB7_PHORB	Adapter molecule crk	N337_11116	Phoenicopterus ruber ruber	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091UZ20	A0A091UZ20_NIPNI	Crk-like	Y956_15734	Nipponia nippon (Crested ibis) (Ibis nippon)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091VJX1	A0A091VJX1_NIPNI	Engulfment and cell motility protein 3	Y956_09246	Nipponia nippon (Crested ibis) (Ibis nippon)	698	DOMAIN 291..464; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091VLJ0	A0A091VLJ0_NIPNI	Engulfment and cell motility protein 2	Y956_07643	Nipponia nippon (Crested ibis) (Ibis nippon)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091VP56	A0A091VP56_NIPNI	Adapter molecule crk	Y956_06462	Nipponia nippon (Crested ibis) (Ibis nippon)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091W1S1	A0A091W1S1_OPIHO	Crk-like	N306_04886	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 228..289; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A091W3V2	A0A091W3V2_NIPNI	Engulfment and cell motility protein 1	Y956_11352	Nipponia nippon (Crested ibis) (Ibis nippon)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091W588	A0A091W588_OPIHO	Engulfment and cell motility protein 1	N306_09353	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	757	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091WET7	A0A091WET7_OPIHO	Engulfment and cell motility protein 2	N306_01090	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A091WEW0	A0A091WEW0_OPIHO	Adapter molecule crk	N306_10461	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093BLQ6	A0A093BLQ6_CHAPE	Engulfment and cell motility protein 3	M959_14894	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	659	DOMAIN 251..424; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093BNM9	A0A093BNM9_TAUER	Crk-like	N340_01058	Tauraco erythrolophus (Red-crested turaco)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093BP03	A0A093BP03_CHAPE	Engulfment and cell motility protein 1	M959_09581	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093BPY9	A0A093BPY9_TAUER	Adapter molecule crk	N340_14244	Tauraco erythrolophus (Red-crested turaco)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093CCR1	A0A093CCR1_9AVES	Adapter molecule crk	N339_05686	Pterocles gutturalis (yellow-throated sandgrouse)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093CP47	A0A093CP47_9AVES	Crk-like	N339_12936	Pterocles gutturalis (yellow-throated sandgrouse)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093CRJ4	A0A093CRJ4_TAUER	Engulfment and cell motility protein 3	N340_06511	Tauraco erythrolophus (Red-crested turaco)	650	DOMAIN 242..415; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093FR43	A0A093FR43_GAVST	Adapter molecule crk	N328_09534	Gavia stellata (Red-throated diver) (Colymbus stellatus)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093FZD8	A0A093FZD8_DRYPU	Crk-like	N307_14056	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 228..289; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093GCW8	A0A093GCW8_DRYPU	Engulfment and cell motility protein 3	N307_00503	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	656	DOMAIN 248..421; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093GRS0	A0A093GRS0_DRYPU	Adapter molecule crk	N307_07361	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	251	DOMAIN 79..139; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 182..243; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093HGQ7	A0A093HGQ7_STRCA	Adapter molecule crk	N308_00884	Struthio camelus australis	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093HW49	A0A093HW49_STRCA	Engulfment and cell motility protein 1	N308_01715	Struthio camelus australis	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093HYN2	A0A093HYN2_GAVST	Crk-like	N328_02511	Gavia stellata (Red-throated diver) (Colymbus stellatus)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093IN96	A0A093IN96_EURHL	Crk-like	N326_03600	Eurypyga helias (Sunbittern) (Ardea helias)	295	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093INY1	A0A093INY1_DRYPU	Engulfment and cell motility protein 2	N307_02898	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	721	DOMAIN 312..486; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093IZH4	A0A093IZH4_EURHL	Adapter molecule crk	N326_12823	Eurypyga helias (Sunbittern) (Ardea helias)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093J542	A0A093J542_STRCA	Engulfment and cell motility protein 3	N308_13482	Struthio camelus australis	689	DOMAIN 281..454; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093J7B3	A0A093J7B3_FULGA	Crk-like	N327_01260	Fulmarus glacialis (Northern fulmar)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093JAB4	A0A093JAB4_FULGA	Engulfment and cell motility protein 2	N327_05424	Fulmarus glacialis (Northern fulmar)	671	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093LSK3	A0A093LSK3_EURHL	Engulfment and cell motility protein 2	N326_08731	Eurypyga helias (Sunbittern) (Ardea helias)	715	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093NCH9	A0A093NCH9_PYGAD	Adapter molecule crk	AS28_08051	Pygoscelis adeliae (Adelie penguin)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093P4E9	A0A093P4E9_PYGAD	Engulfment and cell motility protein 2	AS28_10854	Pygoscelis adeliae (Adelie penguin)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093PCE6	A0A093PCE6_PYGAD	Crk-like	AS28_08501	Pygoscelis adeliae (Adelie penguin)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093PU68	A0A093PU68_9PASS	Engulfment and cell motility protein 2	N305_03138	Manacus vitellinus (golden-collared manakin)	720	DOMAIN 311..485; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093Q9R6	A0A093Q9R6_9PASS	Crk-like	N305_12036	Manacus vitellinus (golden-collared manakin)	296	DOMAIN 12..100; /note="SH2"; /evidence="ECO:0000259|PROSITE:PS50001"; DOMAIN 118..178; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 229..290; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093QBS4	A0A093QBS4_9PASS	Adapter molecule crk	N305_15070	Manacus vitellinus (golden-collared manakin)	223	DOMAIN 51..111; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 154..215; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093R4H8	A0A093R4H8_PHACA	Adapter molecule crk	N336_04145	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	222	DOMAIN 50..110; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"; DOMAIN 153..214; /note="SH3"; /evidence="ECO:0000259|PROSITE:PS50002"
A0A093RQ98	A0A093RQ98_PYGAD	Engulfment and cell motility protein 1	AS28_12255	Pygoscelis adeliae (Adelie penguin)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093SH18	A0A093SH18_9PASS	Engulfment and cell motility protein 1	N305_06560	Manacus vitellinus (golden-collared manakin)	744	DOMAIN 332..505; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093XBQ3	A0A093XBQ3_9PEZI	ELMO domain-containing protein	V490_06634	Pseudogymnoascus sp. VKM F-3557	716	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093XXN8	A0A093XXN8_9PEZI	ELMO domain-containing protein	O988_04837	Pseudogymnoascus sp. VKM F-3808	716	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093YYC5	A0A093YYC5_9PEZI	ELMO domain-containing protein	V491_07822	Pseudogymnoascus sp. VKM F-3775	716	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A093ZCZ6	A0A093ZCZ6_9PEZI	ELMO domain-containing protein	V492_05803	Pseudogymnoascus sp. VKM F-4246	716	DOMAIN 274..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A094C1H7	A0A094C1H7_9PEZI	ELMO domain-containing protein	V494_03074	Pseudogymnoascus sp. VKM F-4513 (FW-928)	716	DOMAIN 274..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
A0A094CGW9	A0A094CGW9_9PEZI	ELMO domain-containing protein	V493_07108	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	716	DOMAIN 256..443; /note="ELMO"; /evidence="ECO:0000259|PROSITE:PS51335"
